date,estimatedMinutesWatched,views,likes,subscribersGained,comments,averageViewDuration,cardClicks,cardTeaserClicks,cardImpressions
2022-01-15,51,34,1,0,0,90,0,0,0
2021-11-27,51,33,1,1,0,92,0,0,0
2022-09-10,50,46,0,0,0,66,0,0,0
2022-09-26,50,30,0,0,0,101,0,0,0
2022-06-20,50,33,0,1,0,92,0,0,0
2022-03-10,50,31,3,0,0,98,0,0,0
2021-12-13,50,51,0,0,0,59,0,0,0
2022-07-24,50,49,0,0,0,62,0,0,0
2022-09-07,50,33,0,0,0,92,0,0,0
2022-05-19,50,31,3,1,0,97,0,0,0
2021-12-28,50,43,0,1,0,70,0,0,0
2022-06-13,50,37,0,1,0,81,0,0,0
2022-06-03,50,36,0,0,0,83,0,0,0
2021-11-01,50,41,0,1,0,73,0,0,0
2021-10-19,50,37,0,4,0,81,0,0,0
2022-01-20,50,63,0,1,0,47,0,0,0
2022-08-01,50,35,2,1,0,85,0,0,0
2022-08-06,49,31,0,0,0,96,0,0,0
2022-07-19,49,42,0,0,0,71,0,0,0
2022-09-29,49,53,0,1,0,56,0,0,0
2022-07-02,49,41,1,0,0,72,0,0,0
2022-04-13,49,48,0,0,0,61,0,0,0
2021-12-01,49,30,0,1,0,98,0,0,0
2022-01-12,49,33,1,0,0,89,0,0,0
2022-08-28,49,34,1,0,0,87,0,0,0
2022-05-16,49,47,2,0,0,62,0,0,0
2022-01-04,49,35,3,2,0,84,0,0,0
2022-01-08,48,32,0,0,0,91,0,0,0
2022-01-05,48,32,0,0,0,91,0,0,0
2022-05-18,48,39,0,0,0,75,0,0,0
2022-10-12,48,36,0,0,0,81,0,0,0
2022-08-26,48,52,0,0,0,56,0,0,0
2022-10-10,48,29,1,0,0,100,0,0,0
2022-06-29,48,63,0,0,0,46,0,0,0
2022-05-24,48,31,0,0,0,93,0,0,0
2022-01-19,48,41,1,0,0,70,0,0,0
2021-11-24,48,42,1,1,0,68,0,0,0
2022-05-05,48,31,1,0,0,93,0,0,0
2022-04-22,48,37,0,1,0,77,0,0,0
2022-03-31,48,45,0,0,0,64,0,0,0
2022-08-08,48,32,2,0,0,90,0,0,0
2022-05-29,47,33,0,0,0,87,0,0,0
2022-04-25,47,45,0,0,0,63,0,0,0
2022-07-31,47,27,1,0,0,106,0,0,0
2022-07-12,47,32,0,0,0,89,0,0,0
2021-10-25,47,55,0,0,0,51,0,0,0
2022-07-15,47,34,1,1,0,83,0,0,0
2022-02-13,47,34,0,1,0,83,0,0,0
2022-04-19,47,31,0,0,0,91,0,0,0
2022-01-31,47,57,1,0,0,49,0,0,0
2022-03-28,47,41,0,0,0,68,0,0,0
2021-11-17,46,36,0,0,0,78,0,0,0
2021-12-08,46,29,0,0,0,96,0,0,0
2022-07-11,46,31,1,0,0,90,0,0,0
2022-09-19,46,33,1,0,0,84,0,0,0
2022-04-26,46,47,2,0,0,59,0,0,0
2022-01-30,46,33,0,1,0,84,0,0,0
2022-10-05,46,43,0,0,0,64,0,0,0
