video_id,title,published_at,estimatedMinutesWatched,views,likes,subscribersGained,comments,averageViewDuration,cardClicks,cardTeaserClicks,cardImpressions
CMfLxO5Zrgg,Терминал B — Шереметьево Паркинг | Моушн-дизайн видео,2019-04-15T11:02:54Z,2962,2454,8,3,1,72,0,0,0
HjrQTEbzjQM,Золотодобыча | Дудл видео для бизнеса,2019-12-17T07:45:55Z,29,40,0,0,0,44,0,0,0
DFYOvP5ls3M,Татьяна Георгиевна Гришачева | Отзыв о видео RomanSergeev.Com,2018-06-06T12:29:30Z,24,35,0,0,0,41,0,0,0
Nnh4VkN9uc8,Служебное огнестрельное оружие в работе охранника. Пистолет. | дудл видео для бизнеса,2018-10-02T21:27:14Z,4817,2895,65,30,0,99,0,0,0
SSag5Iq6vaQ,Бронежилет и шлем в работе охранника. Как использовать спецсредства? | дудл видео для бизнеса,2018-09-27T22:05:07Z,200,125,4,0,0,96,0,0,0
aTKStcYnxY8,Служебное огнестрельное оружие в работе охранника. Ружье. | дудл видео для бизнеса,2018-11-05T09:19:44Z,349,223,6,2,0,93,0,0,0
xo4DKaouLto,Шокер для охранников. Как использовать спецсредства? Сдача экзамена  | дудл видео для бизнеса,2018-08-25T21:21:40Z,560,313,13,4,1,107,0,0,0
FcJ3Wobyrso,Поверка счетчиков Сантехмаркет | Дудл видео для бизнеса,2019-03-10T23:54:22Z,2,5,0,0,0,27,0,0,0
KIcqcGLl4E4,Служебное огнестрельное оружие в работе охранника. Травмат. | дудл видео для бизнеса,2018-12-01T21:35:39Z,4157,2024,69,17,1,123,0,0,0
qRe6TiyzDhg,Новотелеком. Интернет на большой скорости | Моушн-дизайн видео,2019-04-02T13:14:37Z,5,11,0,0,0,27,0,0,0
p2uEiQmGDwU,Игра Время для себя - перезагрузка | Моушн-дизайн видео для бизнеса,2019-01-27T21:21:11Z,8,10,0,0,0,48,0,0,0
GA0c2ViTnM4,"Дудл-видео для компании ИП Ашихмин ""Наручники"" | Рисованное видео RomanSergeevCom",2018-08-04T01:51:41Z,223,90,3,1,0,148,0,0,0
jtXrLJFHTsY,"Уроки английского для начинающих. ""Театр Английского Языка"". Екатерина Шарова | Дудл Видео",2018-08-25T21:38:43Z,5,8,0,0,0,44,0,0,0
65OyAKePEeA,Газовый баллончик в охранной деятельности. Правила использования | дудл видео для бизнеса,2018-09-13T19:41:34Z,462,316,12,1,1,87,0,0,0
jdMoSS6HLJs,Лечение дисплазии шейки матки методом фотодинамической терапии  | рисованное видео для бизнеса,2018-12-30T23:37:40Z,738,331,4,1,1,133,0,0,0
WK12m-n4EKo,"ЖК ""Сиреневый Парк"" по стандартам GreenZoom | Рисованное видео для бизнеса",2019-08-19T18:11:21Z,18,26,0,0,0,43,0,0,0
Epx9j6MrsCA,"Дудл-видео для компании ""Гепард. Резиновая палка"" | Рисованное видео RomanSergeevCom",2018-07-23T22:34:38Z,177,80,4,0,0,132,0,0,0
6SZWrJsXMeE,Бекстейдж записи саммари на книгу «Матрица Перемен»,2019-08-07T13:59:32Z,0,1,0,0,0,33,0,0,0
NiXw6nl7jqM,Салют Орто _ Коленный модуль Steplife P5 | Живое видео с инфографикой,2022-02-17T09:57:14Z,92,71,2,1,0,77,0,0,0
QDEXkiXNcFg,Банкротство физических лиц | Дудл видео для бизнеса,2020-12-30T13:38:12Z,5,26,0,0,0,11,0,0,0
ExV_7qzJxSQ,Безупречный отдел продаж | Дудл видео для бизнеса,2019-02-01T13:05:34Z,2,4,0,0,0,41,0,0,0
wtIGfXgb86M,МАСК Групп Аренда спецтехники | Дудл видео для бизнеса,2019-03-10T23:21:21Z,356,687,3,3,1,31,0,0,0
jskdGV4mbN4,Раскрутка в Instagram от сервиса SmmTouch | Детализированный Моушн-дизайн видео для бизнеса,2019-01-12T15:33:30Z,252,364,3,2,2,41,0,0,0
vODBFhoNi6Y,Спортивный полевой Арбалет | дудл видео для бизнеса,2018-12-21T22:24:53Z,81,51,1,0,0,96,0,0,0
k4cjNql8n9o,Компания Bestly | Моушн-дизайн видео,2019-12-17T09:41:21Z,11,26,0,0,0,26,0,0,0
w4M6x18c5hA,Центр Подологии | Отзыв о видео RomanSergeev.Com,2018-06-06T11:52:47Z,12,20,1,0,0,37,0,0,0
E6dWejfvqxM,Nogturne Professional Stories 15 с | Дудл видео для бизнеса,2018-09-29T16:15:20Z,1,7,0,1,0,12,0,0,0
